-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1
-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,12,-1,-1,-1,12,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,12,-1,-1,-1,12,-1,0,0
0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,19,-1,0
0,-1,-1,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,6,0,6,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0,12,-1,-1,9,-1,-1,-1,0,0,0,0,0,-1,12,-1,-1,-1,12,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,12,-1,-1,9,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,-1,12,-1,-1,-1,12,-1,0,0
0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,19,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,6,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1
-1,0,0,12,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,12,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1
17,-1,0,0,0,0,0,-1,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,0,0,0,0,0,-1,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,0,0,0,0,0,0,0,-1,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,18,0,3,0,0,0,-1,-1,-1,0,0,-1,7,0,-1,-1,-1,0,7,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,9,-1,-1,-1,-1,0,0,-1,-1,9,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,6,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,5,-1,5,-1,5,-1,-1,0,0,0,0,-1,0,0,0,-1,0,9,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,12,-1,12,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
0,-1,-1,-1,-1,8,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
0,-1,9,5,8,5,8,5,9,-1,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,18,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
0,-1,-1,-1,-1,8,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,9,-1,0,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
0,-1,-1,5,-1,5,-1,5,-1,-1,0,0,4,0,-1,0,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,12,-1,12,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1
0,-1,-1,-1,-1,9,-1,-1,-1,-1,0,0,3,0,9,0,-1,-1,-1,0,8,0,0,-1,-1,-1,-1,6,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,21,0,0,0,0,-1,9,0,5,0,0,-1,7,0,-1,-1,-1,0,7,-1,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1
0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17
17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,0,0,0,0,-1,-1,-1,0,0,0,0,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,-1,0,0,0,0,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,17,-1,-1,0,-1,-1,-1,0,-1,-1,17
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,9,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,7,-1,-1,0,-1,0,-1,-1,7,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,12,-1,12,0,0,-1,-1,0,-1,-1,5,-1,5,-1,5,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,12,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,0,-1,9,5,8,5,8,5,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,-1,18,-1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,9,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,9,-1,-1,12,0,-1,-1,0,0,12,-1,12,0,0,-1,-1,0,-1,-1,5,-1,5,-1,5,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,12,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,9,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,7,-1,-1,0,-1,0,-1,-1,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,12,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,-1,0,0,0,0,0,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,0,0,0,0,-1,-1,-1,0,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,0,0,0,0,0,0,-1,-1,-1,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
17,-1,-1,0,-1,-1,-1,0,-1,-1,17,17,-1,-1,0,0,0,0,0,-1,-1,17,17,-1,-1,0,-1,-1,-1,0,-1,-1,17,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-1,0,0,0,0,0,-1,-1,-1,17,17,-1,-1,-1,0,0,0,0,0,0,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,-1,-1,-1,0,0,0,0,0,-1,17
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,-1,7,0,-1,-1,-1,0,7,-1,0,0,18,0,3,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,-1
-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,20,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,-1,-1,9,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0
-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,12,-1,-1,-1,12,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,12,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3,-1,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,19,-1,0,0,-1,-1,-1,-1,18,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,7,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0
-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1,9,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,12,-1,-1,-1,12,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0
-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,12,-1,-1,-1,12,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,4,0,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,12,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1,6,-1,-1,-1,-1,0,0,3,0,9,0,-1,-1,-1,0,8,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1
